RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,CountyName,28/02/2021,31/03/2021,30/04/2021,31/05/2021,30/06/2021,31/07/2021,31/08/2021,30/09/2021,31/10/2021,30/11/2021,31/12/2021,31/01/2022,28/02/2022
31026,29057,Cooper Landing,City,AK,AK,,Kenai Peninsula Borough,305999,308216,312749,317183,320589,322832,325977,328868,331628,333113,340047,346525,351102
10832,29449,Clam Gulch,City,AK,AK,,Kenai Peninsula Borough,210743,212341,214353,216208,218081,219868,221855,223594,224831,226015,228889,232412,236001
102683,29449,Womens Bay,City,AK,AK,,Kodiak Island Borough,420151,422248,424620,428857,432956,436334,439390,442483,444801,445775,451765,457871,462617
32900,92,Mobile,City,AL,AL,Mobile,Mobile County,144096,145700,147556,149753,152804,156124,159312,161332,163530,165626,168077,170207,172314
10417,121,Birmingham,City,AL,AL,Birmingham-Hoover,Jefferson County,81251,82862,83830,84926,86379,88629,90506,92258,93360,94978,96799,98758,100748
32931,132,Montgomery,City,AL,AL,Montgomery,Montgomery County,104285,105264,106363,107967,109605,111271,112981,114658,116575,118432,120259,122271,124450
12014,147,Huntsville,City,AL,AL,Huntsville,Madison County,211388,214285,216883,221566,226506,231900,235892,240896,246831,252119,257376,262342,268063
14208,316,Tuscaloosa,City,AL,AL,Tuscaloosa,Tuscaloosa County,178468,179775,181640,183434,185437,187602,190371,192700,194612,196143,198409,200708,203429
25179,591,Hoover,City,AL,AL,Birmingham-Hoover,Jefferson County,339311,343306,346428,350281,354030,359668,365027,370061,374075,378496,383788,387995,393209
24414,663,Dothan,City,AL,AL,Dothan,Houston County,145080,146370,147029,147775,148877,150558,152882,155065,156887,158701,160844,162630,164574
25704,771,Madison,City,AL,AL,Huntsville,Madison County,282535,285679,289110,294873,300786,307235,312038,317760,324209,329771,335907,342060,349252
11455,812,Florence,City,AL,AL,Florence-Muscle Shoals,Lauderdale County,132803,136575,137865,140076,141159,143738,145963,148514,151061,154620,157545,161007,164410
16838,957,Auburn,City,AL,AL,Auburn-Opelika,Lee County,273415,275834,277234,278507,280234,281911,285086,288290,288095,286594,289492,298291,307929
23533,1023,Athens,City,AL,AL,Huntsville,Limestone County,204396,207375,209813,212202,215085,218466,222482,226041,228517,230822,235569,240918,246476
4317,1041,Decatur,City,AL,AL,Decatur,Morgan County,150491,152840,155255,157921,159739,161388,162662,164491,166294,169036,171815,174965,177613
54001,1193,Prattville,City,AL,AL,Montgomery,Autauga County,214842,214342,213374,213391,216237,219485,224605,226092,227151,227360,229177,229959,233197
6487,1311,Phenix City,City,AL,AL,Columbus,Russell County,131670,133808,135197,136532,137913,139198,140283,141040,141162,141322,143877,147279,151127
46904,1374,Opelika,City,AL,AL,Auburn-Opelika,Lee County,195287,197383,198908,199668,200962,202100,204006,205801,202254,198288,197361,206279,215477
26215,1521,Northport,City,AL,AL,Tuscaloosa,Tuscaloosa County,220084,221388,223422,225818,228435,231243,234413,237185,240018,242897,246965,250786,254953
8332,1697,Albertville,City,AL,AL,Albertville,Marshall County,135504,137728,139817,142054,142870,144622,146276,148600,149827,151856,152960,155375,157368
18225,1714,Gadsden,City,AL,AL,Gadsden,Etowah County,50181,51363,52344,53778,55309,56290,57050,57763,58922,59701,61231,62489,64224
12105,1724,Jasper,City,AL,AL,Birmingham-Hoover,Walker County,125685,127886,129146,130039,130798,131471,132454,133232,134015,134515,137081,139546,143306
4660,1741,Fairhope,City,AL,AL,Daphne-Fairhope-Foley,Baldwin County,334723,337946,342505,347479,355648,363601,371884,380166,388140,395793,402787,410368,418562
16997,1825,Bessemer,City,AL,AL,Birmingham-Hoover,Jefferson County,89944,91904,92797,94196,95444,97980,100497,102649,104189,106569,109450,112522,115327
43839,1829,Alabaster,City,AL,AL,Birmingham-Hoover,Shelby County,221897,225477,229651,232787,234982,237808,241512,244971,248215,251099,255021,257708,259479
14382,1830,Vestavia Hills,City,AL,AL,Birmingham-Hoover,Jefferson County,432744,436143,436888,440296,444319,452454,458373,464148,467302,472833,479375,484673,491631
48463,1925,Wetumpka,City,AL,AL,Montgomery,Elmore County,199092,200537,202196,203811,206846,210357,213222,215297,216542,217428,218560,219777,221951
7365,2078,Talladega,City,AL,AL,Talladega-Sylacauga,Talladega County,93179,94697,95652,96371,97169,98003,99252,100226,101013,101441,103409,105378,108158
24739,2192,Foley,City,AL,AL,Daphne-Fairhope-Foley,Baldwin County,209485,211578,214834,217993,223492,227947,232842,237808,243546,249454,254673,259787,264398
53849,2259,Pell City,City,AL,AL,Birmingham-Hoover,Saint Clair County,226709,227423,228743,230439,233197,236584,239522,242922,246638,251113,260335,266797,272561
34212,2295,Sylacauga,City,AL,AL,Talladega-Sylacauga,Talladega County,106416,108171,109256,110258,111240,111971,112974,113825,114716,115063,117158,119302,122624
45794,2302,Homewood,City,AL,AL,Birmingham-Hoover,Jefferson County,421708,427029,429416,432746,436501,443688,449484,454181,456156,460020,465278,470587,478072
35744,2324,Hartselle,City,AL,AL,Decatur,Morgan County,163073,166216,168961,171609,173721,175701,177336,178787,181140,184983,188927,192178,194411
23492,2362,Anniston,City,AL,AL,Anniston-Oxford-Jacksonville,Calhoun County,96993,99552,101658,102574,103854,105579,107547,109274,110690,111709,112696,114023,118049
50089,2383,Smiths,City,AL,AL,Auburn-Opelika,Lee County,139898,142123,144667,146360,148490,148413,146613,142653,140681,141175,146078,151396,152239
14948,2467,Daphne,City,AL,AL,Daphne-Fairhope-Foley,Baldwin County,232832,234713,237861,241431,247169,252878,258733,264686,270202,275707,280718,286251,291597
56933,2497,Harvest,City,AL,AL,Huntsville,Madison County,230906,234302,237642,242436,246829,251853,256403,262388,269232,275115,281020,286315,292421
16172,2550,Trussville,City,AL,AL,Birmingham-Hoover,Jefferson County,298495,301236,303358,306513,310733,316919,322402,327323,331219,336089,341548,345553,350815
26624,2596,Prichard,City,AL,AL,Mobile,Mobile County,36921,37160,37610,38286,39273,40567,40896,40753,40904,41649,43278,44644,46228
41216,2665,Theodore,City,AL,AL,Mobile,Mobile County,146747,147978,149817,151811,155067,158221,161497,163804,166315,168588,171308,173580,176094
52663,2685,Jacksonville,City,AL,AL,Anniston-Oxford-Jacksonville,Calhoun County,146348,148766,150223,151802,154008,157046,159513,161266,162124,163420,165398,168307,171767
38406,2700,Enterprise,City,AL,AL,Enterprise,Coffee County,155108,157677,159183,160246,161473,162821,164730,165850,166769,167120,168973,170573,172863
26027,2765,Mountain Brook,City,AL,AL,Birmingham-Hoover,Jefferson County,768893,776966,782168,788472,795608,809054,822000,833948,842146,853338,866997,877226,890813
18164,2783,Fort Payne,City,AL,AL,Fort Payne,De Kalb County,122327,125178,127093,128751,128586,127619,126293,125914,125840,125740,128114,130406,133547
6983,2882,Scottsboro,City,AL,AL,Scottsboro,Jackson County,143381,145105,145805,147605,149337,151161,152284,153483,154503,155461,158795,161671,165807
42732,2888,Pelham,City,AL,AL,Birmingham-Hoover,Shelby County,232383,235673,239850,243085,246004,248807,251570,253593,255710,258540,262778,266680,269618
56159,2906,Ozark,City,AL,AL,Ozark,Dale County,97809,99201,100066,101088,101960,102537,103279,103802,104442,104533,106423,108280,111030
30906,2940,Clanton,City,AL,AL,Birmingham-Hoover,Chilton County,137382,139732,141101,142548,143473,144201,145041,145994,146750,147034,149838,152856,156200
50672,3020,Alexander City,City,AL,AL,Alexander City,Tallapoosa County,120769,122579,123917,125443,127132,128652,129925,130881,131708,132274,134815,137334,140655
3562,3053,Bay Minette,City,AL,AL,Daphne-Fairhope-Foley,Baldwin County,157652,158098,159116,160783,164779,168782,171496,174149,176928,180601,184079,187396,190942
30290,3136,Atmore,City,AL,AL,Atmore,Escambia County,109045,110830,112044,113398,114607,115570,116477,117341,117951,118380,120792,123230,126373
34362,3173,Tuscumbia,City,AL,AL,Florence-Muscle Shoals,Colbert County,122737,124760,125990,126913,127940,128831,129732,130472,130993,131470,134313,137176,140963
20417,3219,Semmes,City,AL,AL,Mobile,Mobile County,174684,176404,178148,180989,184757,188717,192074,194116,196819,199224,202335,204933,207751
57253,3421,Guntersville,City,AL,AL,Albertville,Marshall County,194142,196968,199734,202004,203065,205251,208164,211485,213077,215605,218494,223884,229444
35381,3451,Helena,City,AL,AL,Birmingham-Hoover,Shelby County,264968,268645,272895,276014,278556,281857,285813,289194,292613,296386,301567,306194,309959
19437,3474,Montevallo,City,AL,AL,Birmingham-Hoover,Shelby County,174138,176537,179656,182025,183959,186018,188720,190997,193275,194409,196594,198621,200369
44519,3475,Center Point,City,AL,AL,Birmingham-Hoover,Jefferson County,124990,126535,127290,128735,130378,133366,135855,138343,140264,142546,145439,148166,152164
26049,3561,Muscle Shoals,City,AL,AL,Florence-Muscle Shoals,Colbert County,172984,175693,177295,178691,180143,181423,182915,184170,185336,185866,189736,193439,198894
23257,3600,Oxford,City,AL,AL,Anniston-Oxford-Jacksonville,Calhoun County,136886,140044,142297,143515,145079,146888,148612,150444,152060,153229,155271,157700,160170
35035,3633,Deatsville,City,AL,AL,Montgomery,Elmore County,210935,211954,213194,214345,217989,222176,226300,228634,230030,231266,233151,234567,237338
35038,3711,Arab,City,AL,AL,Albertville,Marshall County,161422,164137,166963,168787,169294,170203,172130,174332,175499,177050,179304,184063,189017
