Region,RegionName,StateName,ForecastedDate,ForecastYoYPctChange
Zip,35205,AL,28/02/2023,17.7
Zip,35206,AL,28/02/2023,22.5
Zip,35207,AL,28/02/2023,17
Zip,35208,AL,28/02/2023,21.8
Zip,35209,AL,28/02/2023,17
Zip,35210,AL,28/02/2023,18.4
Zip,35211,AL,28/02/2023,20.1
Zip,35212,AL,28/02/2023,22.2
Zip,35213,AL,28/02/2023,17.1
Zip,35214,AL,28/02/2023,18.1
Zip,35215,AL,28/02/2023,19.4
Zip,35216,AL,28/02/2023,16.9
Zip,35217,AL,28/02/2023,20.6
Zip,35218,AL,28/02/2023,22.8
Zip,35221,AL,28/02/2023,26
Zip,35222,AL,28/02/2023,17.2
Zip,35223,AL,28/02/2023,16.3
Zip,35224,AL,28/02/2023,23.7
Zip,35226,AL,28/02/2023,16.4
Zip,35228,AL,28/02/2023,21.7
Zip,35233,AL,28/02/2023,15
Zip,35234,AL,28/02/2023,25.2
Zip,35235,AL,28/02/2023,18.2
Zip,35242,AL,28/02/2023,12.8
Zip,35243,AL,28/02/2023,15.7
Zip,35244,AL,28/02/2023,14.9
Zip,35401,AL,28/02/2023,15.1
Zip,35404,AL,28/02/2023,14.3
Zip,35405,AL,28/02/2023,14.9
Zip,35406,AL,28/02/2023,14.2
Zip,35441,AL,28/02/2023,17.3
Zip,35442,AL,28/02/2023,13.8
Zip,35444,AL,28/02/2023,16.9
Zip,35446,AL,28/02/2023,14.2
Zip,35447,AL,28/02/2023,14.2
Zip,35452,AL,28/02/2023,14
Zip,35453,AL,28/02/2023,14.5
Zip,35456,AL,28/02/2023,14.7
Zip,35457,AL,28/02/2023,15.7
Zip,35458,AL,28/02/2023,13.4
Zip,35461,AL,28/02/2023,14.9
Zip,35463,AL,28/02/2023,15.1
Zip,35466,AL,28/02/2023,14.7
Zip,35473,AL,28/02/2023,15.6
Zip,35474,AL,28/02/2023,15.1
Zip,35475,AL,28/02/2023,15.8
Zip,35476,AL,28/02/2023,16.4
Zip,35480,AL,28/02/2023,15.2
Zip,35481,AL,28/02/2023,14.9
Zip,35490,AL,28/02/2023,15.8
Zip,35501,AL,28/02/2023,14.2
Zip,35503,AL,28/02/2023,15.1
Zip,35504,AL,28/02/2023,10.9
Zip,35549,AL,28/02/2023,15
Zip,35550,AL,28/02/2023,13.9
Zip,35578,AL,28/02/2023,14.9
Zip,35579,AL,28/02/2023,12.9
Zip,35580,AL,28/02/2023,13.6
Zip,35584,AL,28/02/2023,13.5
Zip,35587,AL,28/02/2023,14.1
Zip,35601,AL,28/02/2023,19.8
Zip,35603,AL,28/02/2023,16.9
Zip,35610,AL,28/02/2023,17.7
Zip,35611,AL,28/02/2023,14.7
Zip,35613,AL,28/02/2023,16.1
Zip,35614,AL,28/02/2023,15.7
Zip,35616,AL,28/02/2023,13.7
Zip,35618,AL,28/02/2023,14.2
Zip,35619,AL,28/02/2023,14.4
Zip,35620,AL,28/02/2023,15.5
Zip,35621,AL,28/02/2023,14
Zip,35622,AL,28/02/2023,14.7
Zip,35630,AL,28/02/2023,18.5
Zip,35633,AL,28/02/2023,18
Zip,35634,AL,28/02/2023,17.9
Zip,35640,AL,28/02/2023,16.7
Zip,35643,AL,28/02/2023,15.1
Zip,35645,AL,28/02/2023,17.9
Zip,35646,AL,28/02/2023,14.2
Zip,35647,AL,28/02/2023,17
Zip,35648,AL,28/02/2023,17.7
Zip,35649,AL,28/02/2023,14.2
Zip,35650,AL,28/02/2023,14.2
Zip,35651,AL,28/02/2023,13.7
Zip,35652,AL,28/02/2023,17.8
Zip,35660,AL,28/02/2023,13.6
Zip,35661,AL,28/02/2023,13.1
Zip,35670,AL,28/02/2023,16.9
Zip,35671,AL,28/02/2023,14.7
Zip,35672,AL,28/02/2023,15.1
Zip,35673,AL,28/02/2023,16.2
Zip,35674,AL,28/02/2023,13.8
Zip,35677,AL,28/02/2023,18.2
Zip,35739,AL,28/02/2023,17.2
Zip,35740,AL,28/02/2023,15.3
Zip,35741,AL,28/02/2023,19.4
Zip,35744,AL,28/02/2023,16.4
Zip,35745,AL,28/02/2023,17.1
Zip,35746,AL,28/02/2023,16
Zip,35747,AL,28/02/2023,19.3
Zip,35748,AL,28/02/2023,20.4
Zip,35749,AL,28/02/2023,19.2
Zip,35750,AL,28/02/2023,19.6
Zip,35751,AL,28/02/2023,18.6
Zip,35752,AL,28/02/2023,15.2
Zip,35754,AL,28/02/2023,14.1
Zip,35755,AL,28/02/2023,18
Zip,35756,AL,28/02/2023,16.5
Zip,35757,AL,28/02/2023,19.5
Zip,35758,AL,28/02/2023,19.3
Zip,35759,AL,28/02/2023,19.5
Zip,35760,AL,28/02/2023,19.9
Zip,35761,AL,28/02/2023,20.3
Zip,35763,AL,28/02/2023,19.7
Zip,35764,AL,28/02/2023,15.1
Zip,35765,AL,28/02/2023,15
Zip,35766,AL,28/02/2023,14.1
Zip,35768,AL,28/02/2023,15.1
Zip,35769,AL,28/02/2023,13.5
Zip,35771,AL,28/02/2023,16.8
Zip,35772,AL,28/02/2023,15
Zip,35773,AL,28/02/2023,19.2
Zip,35774,AL,28/02/2023,18.1
Zip,35775,AL,28/02/2023,13.2
Zip,35776,AL,28/02/2023,15.7
Zip,35801,AL,28/02/2023,19
Zip,35802,AL,28/02/2023,19.6
Zip,35803,AL,28/02/2023,19.8
Zip,35805,AL,28/02/2023,23.6
Zip,35806,AL,28/02/2023,18.9
Zip,35808,AL,28/02/2023,16.8
Zip,35810,AL,28/02/2023,24.1
Zip,35811,AL,28/02/2023,20.4
Zip,35816,AL,28/02/2023,23.2
Zip,35824,AL,28/02/2023,19.4
Zip,35901,AL,28/02/2023,17.1
Zip,35903,AL,28/02/2023,16.6
Zip,35904,AL,28/02/2023,19.7
Zip,35905,AL,28/02/2023,14.4
Zip,35906,AL,28/02/2023,14.7
Zip,35907,AL,28/02/2023,13.7
Zip,35950,AL,28/02/2023,16.9
Zip,35951,AL,28/02/2023,17.4
Zip,35952,AL,28/02/2023,13.4
Zip,35953,AL,28/02/2023,13
Zip,35954,AL,28/02/2023,13.8
Zip,35956,AL,28/02/2023,17
Zip,35957,AL,28/02/2023,16.6
Zip,35958,AL,28/02/2023,15.8
Zip,35966,AL,28/02/2023,13.8
Zip,35972,AL,28/02/2023,12.4
Zip,35976,AL,28/02/2023,17.7
Zip,35980,AL,28/02/2023,15.2
Zip,35987,AL,28/02/2023,13.9
Zip,36003,AL,28/02/2023,11.6
Zip,36005,AL,28/02/2023,8.1
Zip,36006,AL,28/02/2023,12.2
Zip,36008,AL,28/02/2023,9.6
Zip,36010,AL,28/02/2023,8.8
Zip,36013,AL,28/02/2023,12.8
Zip,36020,AL,28/02/2023,10.1
Zip,36022,AL,28/02/2023,11.7
Zip,36024,AL,28/02/2023,11.9
Zip,36025,AL,28/02/2023,11.6
Zip,36026,AL,28/02/2023,13.6
Zip,36032,AL,28/02/2023,11.2
Zip,36034,AL,28/02/2023,9.3
Zip,36035,AL,28/02/2023,14.4
Zip,36036,AL,28/02/2023,5.2
Zip,36040,AL,28/02/2023,10.5
Zip,36043,AL,28/02/2023,13.6
Zip,36047,AL,28/02/2023,12.5
Zip,36051,AL,28/02/2023,12.4
Zip,36052,AL,28/02/2023,13.2
Zip,36054,AL,28/02/2023,10.7
Zip,36064,AL,28/02/2023,12.7
Zip,36066,AL,28/02/2023,12.2
Zip,36067,AL,28/02/2023,12
Zip,36069,AL,28/02/2023,8.4
Zip,36078,AL,28/02/2023,10.8
Zip,36079,AL,28/02/2023,11.7
Zip,36080,AL,28/02/2023,14.1
Zip,36081,AL,28/02/2023,10.6
Zip,36091,AL,28/02/2023,12.9
Zip,36092,AL,28/02/2023,11.1
Zip,36093,AL,28/02/2023,10.6
Zip,36104,AL,28/02/2023,10.7
Zip,36105,AL,28/02/2023,13.5
Zip,36106,AL,28/02/2023,13.7
Zip,36107,AL,28/02/2023,11.8
Zip,36108,AL,28/02/2023,11.5
Zip,36109,AL,28/02/2023,14.4
Zip,36110,AL,28/02/2023,23.6
Zip,36111,AL,28/02/2023,14.7
Zip,36116,AL,28/02/2023,15.3
Zip,36117,AL,28/02/2023,13.2
Zip,36201,AL,28/02/2023,5.3
Zip,36203,AL,28/02/2023,8.4
Zip,36205,AL,28/02/2023,-2
Zip,36206,AL,28/02/2023,17.8
Zip,36207,AL,28/02/2023,11.8
Zip,36250,AL,28/02/2023,6.2
Zip,36260,AL,28/02/2023,8.8
Zip,36265,AL,28/02/2023,10.1
Zip,36268,AL,28/02/2023,16
Zip,36271,AL,28/02/2023,4.7
Zip,36272,AL,28/02/2023,10.7
Zip,36277,AL,28/02/2023,10.8
Zip,36279,AL,28/02/2023,2.1
Zip,36301,AL,28/02/2023,13.5
Zip,36303,AL,28/02/2023,14.1
Zip,36305,AL,28/02/2023,13.1
Zip,36310,AL,28/02/2023,13.4
Zip,36312,AL,28/02/2023,15.9
Zip,36313,AL,28/02/2023,14.4
Zip,36314,AL,28/02/2023,14.2
Zip,36316,AL,28/02/2023,12.6
Zip,36317,AL,28/02/2023,16.7
Zip,36318,AL,28/02/2023,14.6
Zip,36319,AL,28/02/2023,16.9
Zip,36320,AL,28/02/2023,16
Zip,36321,AL,28/02/2023,15.5
Zip,36322,AL,28/02/2023,12.8
